"filename", "language", "Vue.js", "JavaScript", "Markdown", "JSON", "SCSS", "CSS", "HTML", "XML", "Less", "Pug", "comment", "blank", "total"
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\IP_TV.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 1, 76
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Keypad.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 59
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Laptop.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 1, 239
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\POS_Printer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 1, 97
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\POS_keypad.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 65
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Personal Computer Wireless.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 888, 0, 0, 0, 0, 888
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Personal_Computer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 1, 235
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Personal_Computer_Wireless.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 1, 258
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Personal_Computer_with_Server.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 1, 254
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Server_Desktop.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Smartphone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Tablet.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 1, 76
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Tablet_Alternative.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\VOIP_IP_phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 506, 0, 0, 0, 1, 507
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals\Vdeo_Conference_Terminal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 477, 0, 0, 0, 1, 478
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\media_converters\Industrial_Media_Converter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 1, 146
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\media_converters\Industrial_Media_Converter_POE.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 1, 159
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\media_converters\Media_Converter_Modular.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\media_converters\Media_Converter_Standalone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\media_converters\Media_Converter_Standalone_POE.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\security\DVS_Surveillance_Monitor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 1, 200
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\security\EtherGRID.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 1, 96
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\security\POE_DVS_Camera.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 0, 1, 302
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\security\POS.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 389, 0, 0, 0, 1, 390
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\security\Router_UTM.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\security\Router_VPN.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 53
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\security\Surveillance_Camera_Ceiling.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\storage\Datacenter_Server_Half_Rack_ToR.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 1, 104
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\storage\Datacenter_Server_Rack.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 1, 163
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\storage\Datacenter_Server_Rack_EoR.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 1, 187
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\storage\Datacenter_Server_Rack_Storage_Unit_Small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 1, 75
